City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2022-04-07 02:55:33,-38.0023,-57.5575,293.76,81,0,2.06
68,Malakal,SS,2022-04-07 02:49:14,9.5334,31.6605,302.41,45,5,2.27
69,Wum,CM,2022-04-07 02:57:04,6.3833,10.0667,293.3,79,92,1.7
70,Mehamn,NO,2022-04-07 02:57:04,71.0357,27.8492,272.95,86,100,9.94
71,Srednekolymsk,RU,2022-04-07 02:51:56,67.45,153.6833,260.92,81,10,4.4
72,Ouahigouya,BF,2022-04-07 02:57:05,13.5828,-2.4216,303.65,36,41,3.88
73,Chokurdakh,RU,2022-04-07 02:52:48,70.6333,147.9167,255.62,81,2,2.07
74,Lubao,PH,2022-04-07 02:57:06,14.9167,120.55,305.19,48,96,4.26
75,Bredasdorp,ZA,2022-04-07 02:57:06,-34.5322,20.0403,287.09,67,93,2.64
76,Wanning,CN,2022-04-07 02:47:49,18.8003,110.3967,298.67,54,65,4.61
77,Forst,DE,2022-04-07 02:55:11,51.7333,14.6333,282.56,76,99,6.05
78,Tahoua,NE,2022-04-07 02:57:08,14.8888,5.2692,300.05,8,87,2.02
79,Kapaa,US,2022-04-07 02:57:08,22.0752,-159.319,300.14,78,6,2.68
80,Sulangan,PH,2022-04-07 02:57:09,11.1373,123.7228,299.3,88,100,7.83
81,Gravdal,NO,2022-04-07 02:57:09,68.1214,13.5031,274.13,65,100,5.3
82,Zhigansk,RU,2022-04-07 02:51:42,66.7697,123.3711,256.51,90,84,2.76
83,Peniche,PT,2022-04-07 02:57:10,39.3558,-9.3811,286.64,82,93,4.88
84,Lavrentiya,RU,2022-04-07 02:50:23,65.5833,-171.0,254.04,70,100,3.32
85,Karlskrona,SE,2022-04-07 02:57:11,56.1616,15.5866,278.4,97,100,4.45
86,Dikson,RU,2022-04-07 02:57:12,73.5069,80.5464,255.28,99,100,6.39
87,Sitka,US,2022-04-07 02:52:15,57.0531,-135.33,279.09,61,75,10.8
88,Castro,BR,2022-04-07 02:57:13,-24.7911,-50.0119,289.92,98,70,1.73
89,Sylva,RU,2022-04-07 02:58:14,58.0348,56.7635,273.8,97,100,4.64
90,Krasnokamensk,RU,2022-04-07 02:58:14,50.0979,118.0369,277.07,31,93,4.46
91,Port Alfred,ZA,2022-04-07 02:54:33,-33.5906,26.891,287.14,72,53,3.58
92,Pavlivka,UA,2022-04-07 02:58:15,49.4414,28.4596,279.99,81,100,2.84
93,Tessalit,ML,2022-04-07 02:51:45,20.1986,1.0114,300.02,17,3,6.16
94,Pangai,TO,2022-04-07 02:58:16,-19.8,-174.35,302.21,70,75,5.66
95,Gamba,GA,2022-04-07 02:54:19,-2.65,10.0,297.96,94,100,2.37
96,Nikolskoye,RU,2022-04-07 02:58:16,59.7035,30.7861,272.52,86,100,3.28
97,Aguas Vermelhas,BR,2022-04-07 02:58:17,-15.7472,-41.46,292.12,94,8,1.31
98,Broome,US,2022-04-07 02:49:01,42.2506,-75.833,283.81,79,100,5.14
99,Airai,TL,2022-04-07 02:58:18,-8.9266,125.4092,297.83,48,57,1.18
100,Praia,CV,2022-04-07 02:53:15,14.9215,-23.5087,293.45,73,20,7.2
101,Hefei,CN,2022-04-07 02:58:19,31.8639,117.2808,296.16,56,0,4.0
102,Prince Rupert,CA,2022-04-07 02:50:08,54.3161,-130.3201,279.2,70,100,20.06
103,Vaini,TO,2022-04-07 02:58:20,-21.2,-175.2,301.24,83,75,3.6
104,Valparaiso,CL,2022-04-07 02:56:52,-33.0393,-71.6273,286.75,82,100,1.54
105,Santa Marta,CO,2022-04-07 02:58:21,11.2408,-74.199,302.53,68,75,3.13
106,Fare,PF,2022-04-07 02:58:21,-16.7,-151.0167,301.13,76,61,9.96
107,Cedar City,US,2022-04-07 02:56:37,37.6775,-113.0619,278.93,22,4,2.59
108,Kaitangata,NZ,2022-04-07 02:58:22,-46.2817,169.8464,286.51,45,65,2.25
109,Pulaski,US,2022-04-07 02:58:23,34.7668,-92.3001,289.23,44,0,4.02
110,Cape Town,ZA,2022-04-07 02:56:33,-33.9258,18.4232,285.88,85,40,1.03
111,Tuktoyaktuk,CA,2022-04-07 02:58:24,69.4541,-133.0374,262.15,79,20,3.6
112,Saldanha,ZA,2022-04-07 02:55:28,-33.0117,17.9442,288.16,65,91,7.59
113,Gravelbourg,CA,2022-04-07 02:58:25,49.8834,-106.5512,275.3,83,100,7.31
114,Lagoa,PT,2022-04-07 02:53:05,39.05,-27.9833,289.12,86,100,10.7
115,Sumenep,ID,2022-04-07 02:58:26,-7.0167,113.8667,302.26,71,69,0.71
116,Barsovo,RU,2022-04-07 02:58:26,61.1667,73.1667,268.22,90,74,6.71
117,Ayr,GB,2022-04-07 02:58:27,55.4627,-4.6339,277.21,91,93,4.68
118,Bathsheba,BB,2022-04-07 02:58:27,13.2167,-59.5167,298.49,73,40,7.72
119,Mumford,GH,2022-04-07 02:58:28,5.2618,-0.759,300.11,87,80,3.28
120,Margate,GB,2022-04-07 02:58:28,51.3813,1.3862,283.64,79,100,5.36
121,Spornoye,RU,2022-04-07 02:58:29,50.8448,37.2913,279.74,83,100,4.18
122,Clyde River,CA,2022-04-07 02:58:29,70.4692,-68.5914,255.28,85,100,0.0
123,Kedgwick,CA,2022-04-07 02:58:30,47.6446,-67.3434,266.12,98,19,0.89
124,Frolovo,RU,2022-04-07 02:58:30,49.7713,43.6622,280.59,83,32,3.21
125,Grevenbroich,DE,2022-04-07 02:58:31,51.091,6.5827,284.83,82,100,5.66
126,Longyearbyen,SJ,2022-04-07 02:58:32,78.2186,15.6401,262.06,62,0,3.6
127,Tshikapa,CD,2022-04-07 02:58:32,-6.4167,20.8,294.48,92,100,0.97
128,Iqaluit,CA,2022-04-07 02:58:33,63.7506,-68.5145,256.0,70,20,8.75
129,Rocha,UY,2022-04-07 02:58:33,-34.4833,-54.3333,288.12,74,0,3.2
130,Lubango,AO,2022-04-07 02:58:34,-14.9172,13.4925,289.43,70,2,0.95
131,Almaznyy,RU,2022-04-07 02:58:34,48.0448,40.045,277.14,84,14,3.66
132,Kalmunai,LK,2022-04-07 02:58:35,7.4167,81.8167,301.0,73,75,2.91
133,Touros,BR,2022-04-07 02:58:35,-5.1989,-35.4608,299.11,80,72,4.06
134,Chicama,PE,2022-04-07 02:51:58,-7.8447,-79.1469,291.45,77,53,2.94
135,Klaksvik,FO,2022-04-07 02:53:16,62.2266,-6.589,275.66,75,100,19.32
136,Lorengau,PG,2022-04-07 02:59:36,-2.0226,147.2712,300.39,84,100,4.12
