City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Amga,RU,60.8953,131.9608,2.966,100,90,1.11,overcast clouds
79,Buala,SB,-8.145,159.5921,79.772,81,87,2.36,overcast clouds
80,Punta Arenas,CL,-53.15,-70.9167,44.618,93,97,8.56,overcast clouds
81,Tuatapere,NZ,-46.1333,167.6833,50.954,93,100,2.57,moderate rain
82,Guerrero Negro,MX,27.9769,-114.0611,60.782,71,3,2.65,clear sky
83,La Peca,PE,-5.6111,-78.435,77.558,67,100,1.34,overcast clouds
84,Severo-Kurilsk,RU,50.6789,156.125,26.384,79,38,4.08,scattered clouds
85,Vaini,TO,-21.2,-175.2,77.162,94,75,3.6,light intensity drizzle
86,Lethem,GY,3.3803,-59.7968,88.898,49,100,5.48,overcast clouds
87,Redlands,US,34.0556,-117.1825,59.774,82,100,2.06,haze
88,Staraya Kulatka,RU,52.7167,47.6167,56.696,68,99,1.92,overcast clouds
89,Richards Bay,ZA,-28.783,32.0377,68.144,95,100,1.87,light rain
90,Goulburn,AU,-34.75,149.7167,55.094,98,47,2.89,scattered clouds
91,Jambi,ID,-1.6,103.6167,77.324,90,73,1.07,broken clouds
92,Sovetskiy,RU,61.3614,63.5842,38.408,99,93,3.16,overcast clouds
93,Inta,RU,66.0317,60.1659,35.438,100,100,2.48,overcast clouds
94,Hilo,US,19.7297,-155.09,71.33,89,100,1.54,overcast clouds
95,Petatlan,MX,17.5167,-101.2667,73.202,47,90,1.61,overcast clouds
96,Erenhot,CN,43.6475,111.9767,40.712,36,34,2.26,scattered clouds
97,Victoria,HK,22.2855,114.1577,80.186,79,0,1.79,clear sky
98,Avera,US,33.194,-82.5271,69.386,54,7,3.35,clear sky
99,Bredasdorp,ZA,-34.5322,20.0403,74.336,53,1,5.09,clear sky
100,Qaanaaq,GL,77.484,-69.3632,-2.218,73,54,1.99,broken clouds
101,Alofi,NU,-19.0595,-169.9187,73.292,94,40,0.51,scattered clouds
102,Indian Head,US,38.6001,-77.1622,56.156,50,0,4.02,clear sky
103,Jumla,NP,29.2747,82.1838,54.302,65,19,2.36,few clouds
104,Kavaratti,IN,10.5669,72.642,83.948,73,37,5.32,scattered clouds
105,Camacha,PT,33.0833,-16.3333,62.024,63,20,7.2,few clouds
106,Paita,PE,-5.0892,-81.1144,74.354,73,98,5.12,overcast clouds
